days,COVID,EBOLA,SARS
1,555,1754,167
2,653,2383,219
3,941,2552,264
4,1438,2639,306
5,2118,3017,350
6,2927,3095,386
7,5578,3341,456
8,6165,3487,487
9,8235,3626,1323
10,9925,3973,1408
11,12038,4108,1485
12,16787,4461,1550
13,19881,4655,1622
14,23892,5006,1804
15,27636,4218,2223
16,30818,5501,2270
17,34392,5692,2353
18,37121,7632,2416
19,40151,7728,2601
20,42763,7991,2671
21,44803,8168,2722
22,45222,8715,2781
23,60370,8920,2890
24,66887,9427,2960
25,69032,9596,3169
26,71226,10050,3235
27,73260,10585,3293
28,75138,10740,3389
29,75641,11288,3547
30,76199,11731,3547
31,76843,11807,3861
32,78599,12351,3947
33,78985,12418,4288
34,79570,12418,4435
35,80415,12619,4645
36,81397,12850,4832
37,82756,12891,5046
38,84124,12893,5458
39,86013,13054,5659
40,88371,13184,5861
41,90309,13224,6050
42,92844,13224,6230
43,95124,13362,6579
44,97886,13383,6723
45,101800,13405,6899
46,105836,13405,7049
47,109835,13460,7179
48,113582,13484,7292
49,118582,13510,7441
50,125865,13586,7542
51,,13610,7622
52,,13610,7693
53,,13620,7733
54,,13635,7755
55,,13691,7858
56,,13708,7913
57,,13708,7950
58,,13719,8046
59,,13735,8111
60,,13806,8135
61,,13843,8196
62,,13843,8215
63,,13860,8240
64,,13888,8295
65,,13988,8311
66,,13988,8354
67,,14002,8379
68,,14028,8393
69,,14101,8397
70,,14121,8398
71,,14121,8399
72,,14140,8416
73,,14142,8425
74,,14167,8430
75,,14237,8440
76,,14275,8449
77,,14296,8455
78,,14347,8459
79,,14347,8460
80,,14399,8457
81,,14412,8456
82,,14482,8454
83,,14482,8453
84,,14547,8455
85,,14563,8451
86,,14624,8445
87,,14636,8447
88,,14636,8440
89,,14679,8437
90,,14709,8434
91,,14715,8434
92,,14715,8434
93,,14745,8431
94,,14758,8431
95,,14828,8432
96,,14835,8432
97,,14856,
98,,14864,
99,,14864,
100,,14874,

